"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Hyundai","Santro","Magna Mt Cng","547,990","1086","4","FWD (Front Wheel Drive)","Injection","35","CNG","1560","3610","1645","4","","","59","99.04","Manual","2400"
"Hyundai","Santro","Magna Amt","530,990","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","10.1","AMT","2400"
"Hyundai","Santro","Sportz Mt","512,990","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","10.1","Manual","2400"
"Hyundai","Santro","Sportz Mt Cng","578,990","1086","4","FWD (Front Wheel Drive)","Injection","60","CNG","1560","3610","1645","4","","","59","8.3","Manual","2400"
"Hyundai","Santro","Sportz Amt","570,990","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","10.1","AMT","2400"
"Hyundai","Santro","Asta Mt","556,490","1086","4","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3610","1645","4","","20.3","69","99.04","Manual","2400"
"Tata","Tiago","Revotron Xe","460,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3765","1677","5","","23","86","114","Manual","2400"
"Tata","Tiago","Revotron Xt","520,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","23","86","114","Manual","2400"
"Tata","Tiago","Revotron Xz","570,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","23","86","114","Manual","2400"
"Tata","Tiago","Revotron Xz Plus","599,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","23","86","114","Manual","2400"
"Tata","Tiago","Revotron Xz Plus Dual Tone","610,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","23","86","114","Manual","2400"
"Tata","Tiago","Revotron Xza","620,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","24","86","114","AMT","2400"
"Tata","Tiago","Revotron Xza Plus","649,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","24","86","114","AMT","2400"
"Tata","Tiago","Revotron Xza Plus Dual Tone","660,000","1199","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1535","3746","1647","5","23.84","24","86","114","AMT","2400"
"Maruti Suzuki","Celerio X","Vxi (O)","481,074","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Manual","2425"
"Maruti Suzuki","Celerio X","Vxi","475,198","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Manual","2425"
"Maruti Suzuki","Celerio X","Vxi Amt","518,198","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Automatic","2425"
"Maruti Suzuki","Celerio X","Vxi Amt (O)","524,074","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Automatic","2425"
"Maruti Suzuki","Celerio X","Zxi","499,734","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Manual","2425"
"Maruti Suzuki","Celerio X","Zxi (O)","540,350","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Manual","2425"
"Maruti Suzuki","Celerio X","Zxi Amt","542,735","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Automatic","2425"
"Maruti Suzuki","Celerio X","Zxi Amt (O)","552,350","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1560","3600","1600","5","23","23.1","68","90","Automatic","2425"
"Maruti Suzuki","Ignis","Alpha 1.2 Amt","713,898","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","AMT","2435"
"Maruti Suzuki","Ignis","Alpha 1.2 Mt","666,898","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","Manual","2435"
"Maruti Suzuki","Ignis","Delta 1.2 Amt","607,841","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","AMT","2435"
"Maruti Suzuki","Ignis","Delta 1.2 Mt","560,841","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","Manual","2435"
"Maruti Suzuki","Ignis","Sigma 1.2 Mt","483,320","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","Manual","2435"
"Maruti Suzuki","Ignis","Zeta 1.2 Amt","630,320","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","15.1","20.89","83","113","AMT","2435"
"Maruti Suzuki","Ignis","Zeta 1.2 Mt","583,320","1197","4","FWD (Front Wheel Drive)","Injection","32","Petrol","1595","3700","1690","5","20.89","20.89","83","113","Manual","2435"
"Renault","Triber","Rxe","495,000","999","3","FWD (Front Wheel Drive)","Injection","40","Petrol","1643","3990","1739","5","","20.5","72","96","Manual","2636"
"Renault","Triber","Rxl","559,000","999","3","FWD (Front Wheel Drive)","Injection","40","Petrol","1643","3990","1739","5","","20.5","72","96","Manual","2636"
"Renault","Triber","Rxt","609,000","999","3","FWD (Front Wheel Drive)","Injection","40","Petrol","1643","3990","1739","5","","20.5","72","96","Manual","2636"
"Renault","Triber","Rxz","663,000","999","3","FWD (Front Wheel Drive)","Injection","40","Petrol","1643","3990","1739","5","","20.5","72","96","Manual","2636"
"Premier","Rio","Gx","506,000","1173","4","FWD (Front Wheel Drive)","Injection","46","Petrol","1730","3970","1570","5","13","16","76.6","103.9","Manual","2420"
